Area_0,Area_1,Area_2,Area_3,Area_4,label
52,3,2093,4,0,0
31,3,2103,4,0,0
36.5,3,2095.5,4,0,0
51,3,2101.5,4,0,0
31,3,2100.5,4,0,0
36.5,13,12130,12,10,1
154.5,12,13,12028,10,1
139.5,14,13,12025.5,10,1
138.5,14,13,12072.5,10,1
5,153.5,2,3,2043.5,0
9.5,136,2,3,2024.5,0
14.5,144,4,3,2018.5,0
20.5,52,3,2096.5,4,0
21,48,3,2102.5,4,0
26,36.5,3,2098,4,0
30.5,55,3,2099.5,4,0
34,164,13,12126,12,1
61.5,13,12149,14,10,1
58.5,13,12134,14,10,1
48,13,12141.5,12,10,1
59,13,12118.5,14,10,1
36,3,2085.5,2,0,0
98.5,2,59,3,1984,0
50,3,2078.5,2,0,0
48.5,3,2103.5,4,0,0
36,3,2099,4,0,0
35.5,3,2101,4,0,0
58.5,13,12133.5,12,10,1
50,198.5,12,13,12036.5,1
48,198.5,12,13,12087,1
36,196.5,14,13,12089.5,1
60,96.5,4,3,2064,0
35.5,98,4,3,2027,0
48,98.5,2,3,2016,0
36.5,3,2120.5,2,0,0
36,3,2095.5,4,0,0
47,3,2092,4,0,0
35.5,13,12081.5,14,10,1
99,14,159,13,12011,1
59.5,195,14,13,12011,1
36,195.5,14,13,12015,1
59,95,4,3,2018.5,0
59,98,2,3,1987,0
95,4,36,3,2006.5,0
60.5,3,2161.5,2,0,0
36.5,3,2136.5,4,0,0
59,3,2130,4,0,0
61,3,2144,4,0,0
36,3,2127.5,4,0,0
61,3,2138,4,0,0
35.5,3,2128,4,0,0
50,3,2136,4,0,0
48,13,12130,14,10,1
99,14,147.5,13,12052,1
59,199.5,12,13,12049,1
35.5,197,12,13,12051,1
59,1100.5,12,13,12005,1
38,99.5,4,3,1947,0
36,97,4,3,1949,0
97.5,4,59,3,1941,0
35.5,3,2016.5,4,0,0
36,3,2068.5,4,0,0
60.5,3,2097,4,0,0
36,3,2099,4,0,0
59,3,2099.5,4,0,0
35.5,3,2108,4,0,0
49.5,3,2107,4,0,0
60,3,2112.5,4,0,0
36.5,3,2114.5,4,0,0
59,3,2111,4,0,0
154,12,13,12032.5,10,1
139.5,14,13,12027,10,1
2,1141.5,12,13,12026.5,1
5.5,1142.5,12,13,12016,1
10.5,1161,12,13,11994,1
12,132.5,2,3,1955,0
120.5,2,17,3,2019,0
36,23.5,3,2145.5,2,0
59,26,3,2114,4,0
36,30,3,2108.5,4,0
31,3,2167.5,4,0,0
49.5,3,2153,4,0,0
53,3,2141.5,4,0,0
49.5,3,2160.5,4,0,0
52,3,2156.5,4,0,0
99.5,12,152,13,12066,1
34.5,13,12158,14,10,1
49,13,12171,14,10,1
49.5,197,12,13,12046.5,1
36,195,14,13,11988,1
50,195,14,13,11951.5,1
95,4,48.5,3,1956,0
38.5,3,2026.5,4,0,0
51,3,2053.5,4,0,0
48,3,2120.5,4,0,0
37.5,3,2125,4,0,0
50.5,3,2126.5,4,0,0
47,3,2115.5,4,0,0
52,3,2119.5,4,0,0
33.5,3,2120.5,4,0,0
51,3,2111,4,0,0
49,3,2119.5,4,0,0
37,13,12141,12,10,1
49,197,12,13,12035,1
35.5,198.5,12,13,12045.5,1
50.5,199.5,12,13,12044,1
35,199.5,12,13,12014,1
52,199.5,12,13,11962,1
32.5,97,2,3,1946,0
51,3,2053.5,2,0,0
36,3,2027,4,0,0
34.5,3,2026.5,4,0,0
48.5,3,2029,4,0,0
38.5,3,2032.5,4,0,0
34.5,3,2035,4,0,0
0,48,3,2036,4,0
51.5,3,2106,4,0,0
50.5,3,2108.5,4,0,0
37,3,2107,4,0,0
49,3,2108,4,0,0
33.5,3,2101.5,4,0,0
51,3,2104,4,0,0
49,3,2102,4,0,0
47,13,12121.5,12,10,1
98,12,152,13,12026.5,1
35.5,195.5,14,13,12022,1
35,196,12,13,12020.5,1
51,195,14,13,12096.5,1
36.5,95.5,4,3,2065,0
98.5,2,35,3,2018.5,0
48.5,3,2122.5,2,0,0
51.5,3,2103,4,0,0
51,3,2096,4,0,0
35,3,2097.5,4,0,0
49,13,12125,12,10,1
48.5,198.5,12,13,12012,1
37,195,14,13,12020.5,1
49,199.5,12,13,12025,1
48,96,2,3,2027,0
151.5,4,3,2016,0,0
130.5,4,3,1976,0,0
37,3,2073,4,0,0
52,3,2063.5,4,0,0
33.5,3,2054,4,0,0
50,3,2061.5,4,0,0
49.5,3,2051,4,0,0
2,152,13,12089.5,12,1
5.5,1117.5,12,13,11979,1
121,12,13,12031,10,1
134.5,12,13,12084.5,10,1
17,1122.5,12,13,12062.5,1
22.5,3,2145.5,4,0,0
30,3,2151.5,2,0,0
32,3,2154.5,2,0,0
39,3,2159,4,0,0
39.5,13,12158,14,10,1
46.5,13,12149.5,12,10,1
38,13,12158,12,10,1
47.5,13,12145.5,14,10,1
37,1100.5,12,13,12036.5,1
46.5,1100.5,12,13,12013.5,1
48.5,98.5,2,3,1971.5,0
37,95,4,3,2012,0
46,3,2101,4,0,0
37,3,2086,4,0,0
47.5,3,2095.5,4,0,0
38,3,2095,4,0,0
37,3,2087.5,4,0,0
46,3,2095.5,4,0,0
47.5,13,12117,12,10,1
49,198.5,12,13,12012.5,1
36,198.5,12,13,12022,1
46.5,198.5,12,13,12028.5,1
35,199.5,12,13,12012.5,1
47.5,100.5,2,3,1982,0
37,97,4,3,1958.5,0
36,3,2086.5,2,0,0
46.5,3,2079.5,4,0,0
48.5,3,2068,4,0,0
34,3,2069,4,0,0
37,3,2072.5,4,0,0
47.5,3,2069,4,0,0
34,3,2072,4,0,0
37,2.5,3,2070.5,4,0
46,16,13,12095,12,1
37,110,198.5,12,13,1
46.5,115.5,198,14,13,1
38,116,198.5,12,13,1
37,124.5,197,14,13,1
47.5,29.5,100.5,2,3,0
37,27,98.5,2,3,0
39,3,2285.5,2,0,0
39,3,2314.5,4,6,0
52,13,12326,12,118,1
53,195,14,13,12213,1
46.5,153,198.5,12,13,1
48.5,137,197,12,13,1
44.5,150.5,196.5,14,13,1
37,135,198.5,12,13,1
47.5,55,100.5,2,3,0
37,98.5,2,39,3,0
48,37,3,2030,4,0
37.5,50.5,3,2029.5,4,0
48.5,53.5,3,2020,4,0
47.5,54,3,2029,4,0
36,52.5,3,2011,4,0
48.5,53,3,2023,4,0
46,51.5,3,2060,4,0
47.5,36,3,2089,4,0
47.5,52,3,2093.5,4,0
36,35,3,2099,4,0
49,37,3,2091,4,0
46,51.5,3,2100,4,0
36,3,2148.5,4,0,0
55,3,2142.5,4,0,0
38.5,13,12162.5,12,10,1
53,1154.5,12,13,12025,1
36,151,195,14,13,1
47.5,153.5,199.5,12,13,1
46.5,154,196,12,13,1
50.5,134,4,3,1948,0
53.5,125,2,3,1944.5,0
52.5,3,2086,4,0,0
39,3,2095.5,4,0,0
51,3,2149.5,4,0,0
38,3,2233.5,4,75,0
53.5,3,2218.5,4,76.5,0
37.5,3,2128,4,0,0
51.5,3,2140,4,0,0
36,3,2135,4,0,0
56,3,2142,4,0,0
35,13,12140,12,10,1
53,13,12144,14,10,1
51.5,198.5,14,13,12029,1
36,196,12,13,12026,1
52,196,12,13,12018,1
38.5,195.5,14,13,11984,1
53,98,4,3,2046.5,0
37,3,2199.5,2,0,0
53.5,3,2174,4,0,0
2,35,3,2172,4,0
2,55,3,2167.5,4,0
8,39,3,2163.5,4,0
14,54,3,2160,4,0
17.5,138,13,12194,12,1
22.5,152.5,198.5,12,13,1
24,133,1100.5,12,13,1
28.5,151.5,198.5,12,13,1
33.5,136,198.5,12,13,1
58,156,198.5,14,13,1
40.5,52.5,98.5,2,3,0
58.5,3,2114.5,4,0,0
38,51.5,3,2027,4,0
58.5,36,3,2028,4,0
37,52,3,2023.5,4,0
58.5,54,3,2030.5,4,0
35.5,53,3,2032,4,0
0,58.5,37,3,2032,0
59.5,53.5,3,2107,4,0
46.5,55,3,2103,4,0
60.5,38,3,2082.5,4,0
36,52.5,3,2095.5,4,0
37,51,3,2101,4,0
57.5,3,2161,4,0,0
36,13,12275,12,193,1
36.5,13,12137.5,14,10,1
59.5,13,12170.5,14,10,1
35,199.5,12,13,12057,1
37,3,2167.5,4,0,0
58.5,3,2119.5,4,0,0
35.5,3,2112,4,0,0
37,3,2077,4,0,0
58.5,3,2074.5,4,0,0
47,3,2071,4,0,0
58,3,2070.5,4,0,0
36,3,2065,4,0,0
58.5,13,12067,14,10,1
46.5,198,12,13,12051,1
47,195.5,14,13,12122.5,1
35.5,195,14,13,12197.5,1
37,199.5,14,13,12155,1
57.5,96,2,3,2152.5,0
47.5,98.5,2,3,2154.5,0
99.5,2,47,3,2158,0
47.5,3,2227,4,0,0
36,3,2231.5,4,0,0
36.5,13,12261.5,12,10,1
47,197,14,13,12154.5,1
35,1100.5,12,13,12168,1
37,199.5,12,13,12086.5,1
45.5,97,4,3,1985.5,0
35.5,95.5,4,3,1952.5,0
37,97,2,3,1954,0
46,3,2043,4,0,0
33,3,2038.5,4,0,0
37,3,2033.5,4,0,0
47,3,2031,4,0,0
35.5,3,2047,4,0,0
37,3,2096.5,4,0,0
48.5,3,2088.5,4,0,0
46.5,3,2085.5,4,0,0
60.5,3,2089.5,4,0,0
58,3,2094.5,4,0,0
37,13,12091,14,10,1
47.5,195,14,13,12013.5,1
60.5,198.5,12,13,12010.5,1
36.5,197,12,13,12022,1
47,98.5,2,3,2016.5,0
59.5,98.5,4,3,1988,0
137.5,2,3,1949,0,0
45.5,3,2131.5,2,0,0
58,3,2179,4,0,0
37,3,2168.5,4,0,0
2,46,3,2170.5,4,0
5.5,58.5,3,2174,4,0
37,10.5,3,2166.5,4,0
47,16,3,2165.5,4,0
19,13,12263.5,12,10,1
23.5,13,12203,10,10,1
29,13,12235,12,10,1
32.5,13,12230.5,12,10,1
36.5,3,2127,2,0,0
37.5,3,2065,2,0,0
47.5,3,2090,4,0,0
59,3,2057.5,4,0,0
47,3,2038.5,4,0,0
48,3,2045.5,4,0,0
59,3,2128.5,4,0,0
49,3,2185.5,4,0,0
47,3,2179.5,4,0,0
35.5,3,2167.5,4,0,0
36,3,2171.5,4,0,0
49.5,3,2171,4,0,0
36,3,2163.5,4,0,0
38,13,12195,12,10,1
48.5,197,14,13,12087.5,1
36,1100.5,12,13,12081.5,1
60,196.5,14,13,12080,1
58.5,97,2,3,1971,0
50,100.5,2,3,1934,0
48,98.5,2,3,1939,0
36,3,2047,4,0,0
60,3,2027.5,4,0,0
35.5,3,2023,4,0,0
48,3,2028,4,0,0
36.5,3,2084,4,0,0
36,3,2129,4,0,0
47,3,2130.5,4,0,0
35.5,3,2124.5,4,0,0
59,3,2127.5,4,0,0
59.5,3,2126,4,0,0
49,3,2128,4,0,0
38,13,12145.5,12,10,1
49.5,198.5,12,13,12044,1
48.5,1100.5,12,13,12040.5,1
49.5,99.5,2,3,2027,0
58.5,98.5,2,3,1952.5,0
38,95,4,3,1937,0
61,95.5,4,3,1941.5,0
98.5,2,47.5,3,1949,0
